symbol,breakout_ts,level,tp1,tp2,sl,expires_at,tier,confluence,touches,breakout_magnitude_atr,token_rsi,btc_rsi,raw_rr,published,skip_reason,filled,fill_ts,tp1_hit_ts,tp2_hit_ts,sl_hit_ts,tp1_hold_hours,tp2_hold_hours,exit_ts,exit_price,exit_reason,pnl_pct,hold_hours
SOL,2026-04-16 20:00:00+00:00,85.0,91.0,96.0,81.5,2026-04-19 20:00:00+00:00,Major,2.0,40,1.0229117806242096,66.47187728268807,73.89054673547459,1.7142857142857142,False,per_token_cap,True,2026-04-19 04:00:00+00:00,,,2026-04-29 16:00:00+00:00,,,2026-04-29 16:00:00+00:00,81.5,SL,-4.177647058823529,252
ADA,2026-04-16 20:00:00+00:00,0.246,0.264,0.274,0.235,2026-04-19 20:00:00+00:00,Major,3.0,12,0.9865519096288325,57.14285714285715,73.89054673547459,1.6363636363636365,False,per_token_cap,True,2026-04-19 04:00:00+00:00,2026-05-05 20:00:00+00:00,2026-05-08 20:00:00+00:00,,400.0,472.0,2026-05-08 20:00:00+00:00,0.274,TP2,11.322113821138222,472
SUI,2026-04-16 20:00:00+00:00,0.973,1.073,1.119,0.936,2026-04-19 20:00:00+00:00,Major,2.0,11,0.5353283458021605,67.9281767955801,73.89054673547459,2.702702702702708,False,per_token_cap,True,2026-04-18 08:00:00+00:00,,,2026-04-19 16:00:00+00:00,,,2026-04-19 16:00:00+00:00,0.936,SL,-3.8626721479958808,32
AAVE,2026-04-16 20:00:00+00:00,112.0,122.0,0.0,106.0,2026-04-19 20:00:00+00:00,Major,3.0,45,0.5397815912636497,73.02173021730215,73.89054673547459,1.6666666666666667,True,,True,2026-04-17 04:00:00+00:00,,,2026-04-18 16:00:00+00:00,,,2026-04-18 16:00:00+00:00,106.0,SL,-5.417142857142856,36
DOGE,2026-04-16 20:00:00+00:00,0.096,0.102,0.106,0.092,2026-04-19 20:00:00+00:00,Major,3.0,14,0.8753408648227519,69.9074074074074,73.89054673547459,1.4999999999999964,False,per_token_cap,True,2026-04-18 08:00:00+00:00,2026-04-29 04:00:00+00:00,2026-04-29 08:00:00+00:00,,260.0,264.0,2026-04-29 08:00:00+00:00,0.106,TP2,10.35666666666666,264
BNB,2026-04-16 20:00:00+00:00,623.0,648.0,680.0,606.0,2026-04-19 20:00:00+00:00,Major,2.0,26,0.6823143271505983,66.95189199467578,73.89054673547459,1.4705882352941178,False,per_token_cap,True,2026-04-19 00:00:00+00:00,2026-04-22 12:00:00+00:00,2026-05-13 00:00:00+00:00,,84.0,576.0,2026-05-13 00:00:00+00:00,680.0,TP2,9.08927768860353,576
HBAR,2026-04-16 20:00:00+00:00,0.088,0.091,0.095,0.084,2026-04-19 20:00:00+00:00,Major,3.0,10,0.7607780228594353,57.14902807775377,73.89054673547459,0.7500000000000026,False,per_token_cap,True,2026-04-18 08:00:00+00:00,2026-04-21 08:00:00+00:00,2026-05-09 00:00:00+00:00,,72.0,496.0,2026-05-09 00:00:00+00:00,0.095,TP2,7.894545454545463,496
UNI,2026-04-16 20:00:00+00:00,3.2,3.6,3.8,3.1,2026-04-19 20:00:00+00:00,Major,1.0,1,1.2617079889807148,63.97984886649874,73.89054673547459,3.9999999999999956,False,quality,False,,,,,,,,0.0,,0.0,0
BTC,2026-04-17 16:00:00+00:00,76000.0,84500.0,89300.0,73000.0,2026-04-20 16:00:00+00:00,Major,2.0,1,0.5923507374888318,72.13387421308303,72.13387421308303,2.8333333333333335,False,quality,True,2026-04-18 08:00:00+00:00,,,,,,2026-05-13 12:00:00+00:00,79886.95,TIMEOUT,5.054407894736839,604
HYPE,2026-04-17 20:00:00+00:00,43.5,48.5,53.0,41.5,2026-04-20 20:00:00+00:00,Minor,1.0,4,0.6089126559714785,72.04529370134465,71.38919359127769,2.5,True,,True,2026-04-19 00:00:00+00:00,,,2026-04-19 16:00:00+00:00,,,2026-04-19 16:00:00+00:00,41.5,SL,-4.657701149425287,16
