symbol,breakout_ts,level,tp,sl,tp_source,expires_at,confluence,touches,tier,breakout_magnitude_atr,token_rsi,btc_rsi,raw_rr,passed_quality,passed_momentum,published,skip_reason,filled,fill_ts,exit_ts,exit_price,exit_reason,pnl_pct,hold_hours
XRP,2025-07-09 12:00:00+00:00,2.3,2.5,2.2,tp1,2025-07-12 12:00:00+00:00,3.0,15,Major,0.9276630214661841,72.96732026143789,53.20387304520204,2.000000000000009,True,True,False,per_token_cap,False,,,0.0,,0.0,0
HBAR,2025-07-09 12:00:00+00:00,0.162,0.19,0.154,tp2,2025-07-12 12:00:00+00:00,2.0,2,Major,0.9901668921966603,68.31196581196578,53.20387304520204,3.4999999999999964,False,True,False,quality,False,,,0.0,,0.0,0
UNI,2025-07-09 12:00:00+00:00,7.7,8.3,7.4,tp1,2025-07-12 12:00:00+00:00,2.0,8,Major,0.8486536675951716,60.84114805342427,53.20387304520204,2.000000000000003,True,True,True,,False,,,0.0,,0.0,0
XRP,2025-07-09 16:00:00+00:00,2.3,2.5,2.2,tp1,2025-07-12 16:00:00+00:00,3.0,15,Major,1.3722154718509516,75.4801991937396,62.26925560819617,2.000000000000009,True,True,False,per_token_cap,False,,,0.0,,0.0,0
SOL,2025-07-09 16:00:00+00:00,152.0,167.0,146.0,tp1,2025-07-12 16:00:00+00:00,1.0,1,Major,0.6979472140762479,55.58067250635774,62.26925560819617,2.5,False,True,False,quality,False,,,0.0,,0.0,0
SUI,2025-07-09 16:00:00+00:00,2.9,3.3,2.7,tp1,2025-07-12 16:00:00+00:00,2.0,1,Major,0.7809254734270011,57.33761026463511,62.26925560819617,2.000000000000002,False,True,False,quality,False,,,0.0,,0.0,0
AVAX,2025-07-09 16:00:00+00:00,18.5,20.0,18.0,tp1,2025-07-12 16:00:00+00:00,2.0,31,Major,0.6307237813884785,53.32167832167832,62.26925560819617,3.0,True,True,True,,False,,,0.0,,0.0,0
HBAR,2025-07-09 16:00:00+00:00,0.162,0.19,0.154,tp2,2025-07-12 16:00:00+00:00,2.0,2,Major,1.4107352277852936,70.41691601835224,62.26925560819617,3.4999999999999964,False,True,False,quality,False,,,0.0,,0.0,0
DOT,2025-07-09 16:00:00+00:00,3.5,3.8,3.4,tp1,2025-07-12 16:00:00+00:00,2.0,7,Major,0.7415634344297316,54.017424975798654,62.26925560819617,2.9999999999999956,True,True,True,,False,,,0.0,,0.0,0
UNI,2025-07-09 16:00:00+00:00,7.7,8.3,7.4,tp1,2025-07-12 16:00:00+00:00,2.0,8,Major,1.3259052924791077,63.506355932203384,62.26925560819617,2.000000000000003,True,True,False,per_token_cap,False,,,0.0,,0.0,0
ETH,2025-07-09 20:00:00+00:00,2680.0,3225.0,2525.0,tp2,2025-07-12 20:00:00+00:00,3.0,22,Major,0.8685888472509621,69.71453731562339,60.80665468706811,3.5161290322580645,True,True,True,,False,,,0.0,,0.0,0
XRP,2025-07-09 20:00:00+00:00,2.3,2.5,2.2,tp1,2025-07-12 20:00:00+00:00,3.0,15,Major,1.1771567436209003,74.43757725587142,60.80665468706811,2.000000000000009,True,True,False,per_token_cap,False,,,0.0,,0.0,0
SOL,2025-07-09 20:00:00+00:00,152.0,167.0,146.0,tp1,2025-07-12 20:00:00+00:00,1.0,1,Major,0.6688108977390993,55.302814899061715,60.80665468706811,2.5,False,True,False,quality,False,,,0.0,,0.0,0
SUI,2025-07-09 20:00:00+00:00,2.9,3.3,2.7,tp1,2025-07-12 20:00:00+00:00,2.0,1,Major,0.9225717776420285,58.44155844155843,60.80665468706811,2.000000000000002,False,True,False,quality,False,,,0.0,,0.0,0
AVAX,2025-07-09 20:00:00+00:00,18.5,20.0,18.0,tp1,2025-07-12 20:00:00+00:00,2.0,31,Major,1.0339734121122608,56.301145662847794,60.80665468706811,3.0,True,True,False,per_token_cap,False,,,0.0,,0.0,0
HBAR,2025-07-09 20:00:00+00:00,0.162,0.19,0.154,tp2,2025-07-12 20:00:00+00:00,2.0,2,Major,1.127830401443391,69.03320108582164,60.80665468706811,3.4999999999999964,False,True,False,quality,False,,,0.0,,0.0,0
DOT,2025-07-09 20:00:00+00:00,3.5,3.8,3.4,tp1,2025-07-12 20:00:00+00:00,2.0,7,Major,0.717642033319095,53.83867832847426,60.80665468706811,2.9999999999999956,True,True,False,per_token_cap,False,,,0.0,,0.0,0
UNI,2025-07-09 20:00:00+00:00,7.7,8.3,7.4,tp1,2025-07-12 20:00:00+00:00,2.0,8,Major,1.116063138347261,62.38056238056238,60.80665468706811,2.000000000000003,True,True,False,per_token_cap,False,,,0.0,,0.0,0
ADA,2025-07-10 16:00:00+00:00,0.628,0.662,0.612,tp1,2025-07-13 16:00:00+00:00,1.0,5,Minor,0.799336650082919,69.5354523227384,71.72118391605285,2.125,True,True,True,,False,,,0.0,,0.0,0
HBAR,2025-07-10 16:00:00+00:00,0.174,0.19,0.167,tp2,2025-07-13 16:00:00+00:00,2.0,9,Major,0.8125799028381502,77.91689348575572,71.72118391605285,2.285714285714295,True,True,True,,False,,,0.0,,0.0,0
ETH,2025-07-10 20:00:00+00:00,2815.0,3225.0,2680.0,tp1,2025-07-13 20:00:00+00:00,1.0,1,Major,1.2252517209493468,77.4244065561417,76.25895444122513,3.037037037037037,False,True,False,quality,False,,,0.0,,0.0,0
XRP,2025-07-10 20:00:00+00:00,2.5,2.9,2.4,tp2,2025-07-13 20:00:00+00:00,1.0,1,Major,0.5049777913922491,80.0270426888159,76.25895444122513,3.9999999999999956,False,True,False,quality,False,,,0.0,,0.0,0
ADA,2025-07-10 20:00:00+00:00,0.628,0.662,0.612,tp1,2025-07-13 20:00:00+00:00,1.0,5,Minor,1.6417910447761188,72.90126141800783,76.25895444122513,2.125,True,True,False,per_token_cap,False,,,0.0,,0.0,0
TAO,2025-07-10 20:00:00+00:00,352.0,411.0,331.0,tp2,2025-07-13 20:00:00+00:00,1.0,9,Minor,1.2620768352985918,67.16917922948073,76.25895444122513,2.8095238095238093,True,True,True,,False,,,0.0,,0.0,0
DOGE,2025-07-10 20:00:00+00:00,0.184,0.226,0.172,tp2,2025-07-13 20:00:00+00:00,1.0,6,Major,1.1832340815391664,71.04040546248066,76.25895444122513,3.499999999999998,True,True,True,,False,,,0.0,,0.0,0
HBAR,2025-07-11 04:00:00+00:00,0.19,0.219,0.18,tp2,2025-07-14 04:00:00+00:00,3.0,29,Major,1.061627081196245,90.02624671916006,84.98731733596719,2.8999999999999972,True,True,False,per_token_cap,True,2025-07-11 20:00:00+00:00,2025-07-13 04:00:00+00:00,0.219,TP,15.203157894736838,32
HBAR,2025-07-11 08:00:00+00:00,0.19,0.219,0.18,tp2,2025-07-14 08:00:00+00:00,3.0,29,Major,1.527815039848498,90.60439560439556,85.24447489353307,2.8999999999999972,True,True,False,per_token_cap,True,2025-07-11 20:00:00+00:00,2025-07-13 04:00:00+00:00,0.219,TP,15.203157894736838,32
XRP,2025-07-11 12:00:00+00:00,2.6,3.1,2.4,tp2,2025-07-14 12:00:00+00:00,3.0,13,Major,1.7702801818981964,94.2251031231585,84.41248429098287,2.499999999999998,True,True,False,per_token_cap,False,,,0.0,,0.0,0
HBAR,2025-07-11 12:00:00+00:00,0.19,0.219,0.18,tp2,2025-07-14 12:00:00+00:00,3.0,29,Major,1.1599463426181658,90.15402331941841,84.41248429098287,2.8999999999999972,True,True,False,per_token_cap,True,2025-07-11 20:00:00+00:00,2025-07-13 04:00:00+00:00,0.219,TP,15.203157894736838,32
XRP,2025-07-11 16:00:00+00:00,2.6,3.1,2.4,tp2,2025-07-14 16:00:00+00:00,3.0,13,Major,2.6492592049288537,94.87179487179486,85.48623544091996,2.499999999999998,True,True,False,per_token_cap,False,,,0.0,,0.0,0
DOGE,2025-07-11 16:00:00+00:00,0.199,0.226,0.189,tp2,2025-07-14 16:00:00+00:00,1.0,1,Minor,1.2849508954361646,83.59287405008098,85.48623544091996,2.699999999999997,False,True,False,quality,True,2025-07-11 20:00:00+00:00,2025-07-15 00:00:00+00:00,0.189,SL,-5.085125628140707,76
BNB,2025-07-11 16:00:00+00:00,687.0,715.0,674.0,tp2,2025-07-14 16:00:00+00:00,3.0,3,Major,0.6470355209296177,82.80798348245008,85.48623544091996,2.1538461538461537,True,True,True,,True,2025-07-11 20:00:00+00:00,2025-07-16 20:00:00+00:00,715.0,TP,4.015691411935954,120
HBAR,2025-07-11 16:00:00+00:00,0.19,0.219,0.18,tp2,2025-07-14 16:00:00+00:00,3.0,29,Major,1.3853073463268364,90.43490420920146,85.48623544091996,2.8999999999999972,True,True,False,per_token_cap,True,2025-07-11 20:00:00+00:00,2025-07-13 04:00:00+00:00,0.219,TP,15.203157894736838,32
XRP,2025-07-11 20:00:00+00:00,2.6,3.1,2.4,tp2,2025-07-14 20:00:00+00:00,3.0,13,Major,1.35748863136277,93.86157218916378,84.98800902571863,2.499999999999998,True,True,False,per_token_cap,False,,,0.0,,0.0,0
XRP,2025-07-12 00:00:00+00:00,2.7,3.2,2.6,tp2,2025-07-15 00:00:00+00:00,1.0,7,Minor,0.8103567318757191,93.92624728850323,81.85683588312148,4.999999999999996,True,True,False,per_token_cap,True,2025-07-12 12:00:00+00:00,2025-07-17 08:00:00+00:00,3.2,TP,18.45851851851852,116
XRP,2025-07-12 04:00:00+00:00,2.7,3.2,2.6,tp2,2025-07-15 04:00:00+00:00,1.0,7,Minor,0.5437284234752578,93.59790952147638,81.80171239080954,4.999999999999996,True,True,False,per_token_cap,True,2025-07-12 12:00:00+00:00,2025-07-17 08:00:00+00:00,3.2,TP,18.45851851851852,116
XRP,2025-07-12 08:00:00+00:00,2.7,3.2,2.6,tp2,2025-07-15 08:00:00+00:00,1.0,7,Minor,0.8490218642117369,93.97108581974776,81.90280333369417,4.999999999999996,True,True,True,,True,2025-07-12 12:00:00+00:00,2025-07-17 08:00:00+00:00,3.2,TP,18.45851851851852,116
XRP,2025-07-13 00:00:00+00:00,2.7,3.1,2.6,tp2,2025-07-16 00:00:00+00:00,2.0,11,Major,0.5179856115107914,93.35480589930495,80.32898146731799,3.9999999999999956,True,True,False,per_token_cap,False,,,0.0,,0.0,0
XRP,2025-07-13 04:00:00+00:00,2.7,3.1,2.6,tp2,2025-07-16 04:00:00+00:00,2.0,11,Major,0.7512305944717887,93.6845497019494,80.68101764677573,3.9999999999999956,True,True,False,per_token_cap,False,,,0.0,,0.0,0
ADA,2025-07-13 04:00:00+00:00,0.713,0.78,0.69,tp2,2025-07-16 04:00:00+00:00,2.0,17,Major,0.657345071638184,84.19010669253153,80.68101764677573,2.9130434782608696,True,True,False,per_token_cap,True,2025-07-15 00:00:00+00:00,2025-07-16 20:00:00+00:00,0.78,TP,9.336914446002814,44
XRP,2025-07-13 08:00:00+00:00,2.7,3.1,2.6,tp2,2025-07-16 08:00:00+00:00,2.0,11,Major,0.6732298371828833,93.57798165137613,80.78333428844806,3.9999999999999956,True,True,False,per_token_cap,False,,,0.0,,0.0,0
HBAR,2025-07-13 08:00:00+00:00,0.219,0.264,0.205,tp1,2025-07-16 08:00:00+00:00,2.0,2,Major,0.7469926270857594,91.65039062499996,80.78333428844806,3.214285714285712,False,True,False,quality,False,,,0.0,,0.0,0
XRP,2025-07-13 12:00:00+00:00,2.7,3.1,2.6,tp2,2025-07-16 12:00:00+00:00,2.0,11,Major,1.0458159787959078,94.05700424499695,81.58513408491517,3.9999999999999956,True,True,False,per_token_cap,False,,,0.0,,0.0,0
ADA,2025-07-13 12:00:00+00:00,0.713,0.78,0.69,tp2,2025-07-16 12:00:00+00:00,2.0,17,Major,0.6984291386155713,84.31938431938434,81.58513408491517,2.9130434782608696,True,True,False,per_token_cap,True,2025-07-15 00:00:00+00:00,2025-07-16 20:00:00+00:00,0.78,TP,9.336914446002814,44
HBAR,2025-07-13 12:00:00+00:00,0.219,0.264,0.205,tp1,2025-07-16 12:00:00+00:00,2.0,2,Major,2.3604967015909986,93.14216964106674,81.58513408491517,3.214285714285712,False,True,False,quality,False,,,0.0,,0.0,0
XRP,2025-07-13 16:00:00+00:00,2.7,3.1,2.6,tp2,2025-07-16 16:00:00+00:00,2.0,11,Major,1.1026126467247248,94.12381951731373,81.94759617022731,3.9999999999999956,True,True,False,per_token_cap,False,,,0.0,,0.0,0
ADA,2025-07-13 16:00:00+00:00,0.713,0.78,0.69,tp2,2025-07-16 16:00:00+00:00,2.0,17,Major,0.7709304332815476,84.54243717401614,81.94759617022731,2.9130434782608696,True,True,True,,True,2025-07-15 00:00:00+00:00,2025-07-16 20:00:00+00:00,0.78,TP,9.336914446002814,44
HBAR,2025-07-13 16:00:00+00:00,0.219,0.264,0.205,tp1,2025-07-16 16:00:00+00:00,2.0,2,Major,1.965722416246282,92.8286852589641,81.94759617022731,3.214285714285712,False,True,False,quality,False,,,0.0,,0.0,0
XRP,2025-07-13 20:00:00+00:00,2.7,3.1,2.6,tp2,2025-07-16 20:00:00+00:00,2.0,11,Major,1.030670200681559,94.03892944038928,82.10074824020987,3.9999999999999956,True,True,False,per_token_cap,False,,,0.0,,0.0,0
ADA,2025-07-13 20:00:00+00:00,0.713,0.78,0.69,tp2,2025-07-16 20:00:00+00:00,2.0,17,Major,0.5727602278612131,83.91711889491862,82.10074824020987,2.9130434782608696,True,True,False,per_token_cap,True,2025-07-15 00:00:00+00:00,2025-07-16 20:00:00+00:00,0.78,TP,9.336914446002814,44
HBAR,2025-07-13 20:00:00+00:00,0.219,0.264,0.205,tp1,2025-07-16 20:00:00+00:00,2.0,2,Major,2.0227654895873757,92.87574211019681,82.10074824020987,3.214285714285712,False,True,False,quality,False,,,0.0,,0.0,0
SUI,2025-07-14 04:00:00+00:00,3.5,4.1,3.3,tp2,2025-07-17 04:00:00+00:00,2.0,14,Major,2.106964582838127,88.74374047463532,93.77669310555217,2.9999999999999956,True,True,True,,False,,,0.0,,0.0,0
AAVE,2025-07-14 04:00:00+00:00,309.0,333.0,297.0,tp1,2025-07-17 04:00:00+00:00,1.0,2,Minor,0.8384469182731467,82.69424259362776,93.77669310555217,2.0,False,True,False,quality,True,2025-07-15 00:00:00+00:00,2025-07-16 04:00:00+00:00,333.0,TP,7.7069902912621355,28
TAO,2025-07-14 04:00:00+00:00,403.0,467.0,381.0,tp2,2025-07-17 04:00:00+00:00,1.0,1,Major,1.0144277011862783,86.54124457308245,93.77669310555217,2.909090909090909,False,True,False,quality,True,2025-07-14 16:00:00+00:00,2025-07-28 16:00:00+00:00,407.1,TIMEOUT,0.957369727047152,336
BNB,2025-07-14 04:00:00+00:00,697.0,750.0,686.0,tp2,2025-07-17 04:00:00+00:00,1.0,1,Major,0.7815111111111073,89.96670702179176,93.77669310555217,4.818181818181818,False,True,False,quality,True,2025-07-14 12:00:00+00:00,2025-07-15 00:00:00+00:00,686.0,SL,-1.6381922525107604,12
DOT,2025-07-14 04:00:00+00:00,4.0,4.6,3.8,tp2,2025-07-17 04:00:00+00:00,2.0,9,Major,0.7235634138048286,95.01133786848072,93.77669310555217,2.9999999999999956,True,True,True,,True,2025-07-14 12:00:00+00:00,2025-07-15 04:00:00+00:00,3.8,SL,-5.060000000000004,16
